GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
4666,11.8,0,0,0,0,155,0,261
2865,2.1,0,0,0,0,82,0,330
2746,5.1,378,0,0,0,2,414,92
2530,4.1,2,609,0,0,2,217,90
2562,1.5,9,0,0,0,18,18,366
2135,-1.6,8,0,0,0,66,0,281
2014,-2.8,20,0,0,0,41,0,163
1519,-0.3,3,21,56,3,157,47,571
1102,-1.7,7,7,124,11,419,97,75
1465,-0.5,4,4,75,12,178,47,458
1544,0.2,9,22,31,7,520,33,245
1739,1.5,120,37,8,6,168,8,181
1030,-2.4,39,28,0,17,239,0,350
1254,-0.5,5,43,0,8,179,10,123
1605,1.2,3,534,0,10,100,26,159
1761,1.6,5,16,8,5,34,67,272
631,-3.9,56,19,12,37,619,37,52
1385,-0.2,1,4,1,20,330,38,352
1051,-1.6,29,7,18,25,63,62,386
1096,-1.5,13,22,112,28,88,93,286
1951,2.3,10,10,5,31,39,70,417
1483,0.1,4,38,0,23,45,70,613
635,-4.3,97,15,25,44,453,52,154
1766,1.9,6,2,2,53,127,16,87
708,-3.8,97,12,9,27,410,106,157
699,-5.4,27,4,11,2,751,16,16
1364,-0.2,3,0,0,3,486,52,72
1023,-1.9,22,10,3,22,357,10,172
693,-4.1,20,2,0,2,610,37,25
1621,0.2,4,0,0,4,384,41,315
1052,-1.7,2,16,29,2,86,55,372
1327,-0.5,2,7,7,3,28,43,390
3219,5.3,3,6,0,3,68,6,82
480,-7.1,0,35,281,0,388,9,61
332,-38.7,0,649,110,0,3,0,43
332,-38.7,0,614,181,0,4,0,108
332,-38.7,0,317,337,0,7,0,147
332,-38.7,0,262,112,5,0,0,123
332,-38.7,0,306,326,0,6,0,142
332,-38.7,0,424,66,3,3,0,40
297,-37.6,0,435,198,0,15,0,80
313,-37.9,0,568,65,3,10,0,274
291,-38.4,0,124,96,0,3,0,379
291,-38.4,0,527,47,0,5,0,134
291,-38.4,0,391,52,0,4,0,60
291,-38.4,0,906,28,0,0,0,10
410,-42.5,0,333,211,3,6,0,116
666,-45.7,0,280,290,2,4,0,111
666,-45.7,0,198,279,9,54,0,63
656,-45.6,0,176,330,0,19,0,241
646,-45.4,0,142,245,0,56,0,43
656,-45.6,0,111,359,0,34,0,158
666,-45.7,0,150,549,0,16,0,16
645,-45.4,0,163,240,4,4,0,30
632,-45,0,247,253,0,36,0,33
632,-45.1,0,262,423,0,0,0,139
605,-44.8,0,300,275,0,29,0,36
630,-44.6,0,106,471,0,47,0,59
673,-45.9,0,494,378,0,0,0,0
673,-45.8,0,143,243,0,79,0,79
655,-45.7,0,240,391,0,7,0,46
644,-45.6,0,203,144,0,25,0,38
645,-45.4,0,463,43,0,0,0,12
619,-45.1,0,227,378,0,0,0,161
655,-45.7,0,60,807,0,4,0,24
622,-45,0,242,274,0,63,0,60
605,-44.9,0,250,114,0,23,0,55
642,-44.7,0,176,497,0,0,0,6
861,-39.4,0,37,107,111,534,0,3
861,-39.4,0,15,15,38,887,0,0
861,-39.4,0,13,40,27,726,0,0
861,-39.4,0,21,47,78,725,0,0
660,-45.4,0,19,167,0,0,0,0
660,-45.4,0,7,7,0,20,0,20
553,-47.8,0,98,118,0,15,0,59
405,-48.6,0,395,32,0,0,0,140
470,-18.7,0,92,835,0,4,0,0
519,-22.6,0,49,180,0,0,0,4
662,-37.9,0,43,143,0,0,0,514
268,-38.9,0,120,249,0,0,0,19
662,-37.9,0,173,77,0,0,0,0
444,-26.1,0,76,12,0,0,0,12
470,-18.7,0,41,41,0,5,0,0
627,-40.5,0,72,72,0,0,0,13
286,-26.2,0,42,21,0,0,0,3
298,-26.2,0,51,0,0,0,0,0
662,-37.9,0,169,87,0,0,0,59
591,-48,0,63,42,0,0,0,94
628,-48,0,44,50,0,0,0,81
628,-48,0,173,96,0,10,0,77
457,-18.8,0,81,89,0,0,0,0
492,-23.1,0,264,212,0,0,0,40
591,-40.2,0,150,190,0,20,0,0
492,-23.1,0,208,146,0,0,0,21
268,-38.9,0,37,111,0,0,0,30
662,-37.9,0,163,185,0,0,0,67
585,-48.2,0,71,83,0,0,0,51
660,-45.4,0,0,20,0,0,0,34
627,-40.5,0,10,29,0,0,0,10
665,-40.7,0,5,147,0,0,0,13
161,-28.6,0,108,451,0,0,0,20
161,-28.6,0,68,61,0,0,0,8
118,-28.7,0,30,30,0,0,0,15
118,-28.7,0,60,60,0,0,0,80
134,-21.6,0,0,0,0,0,0,69
134,-21.6,0,0,0,0,0,0,200
872,-36.6,0,82,97,406,300,0,10
925,-34.3,0,48,35,153,472,0,94
925,-34.3,0,5,21,279,558,0,21
823,-40.4,0,0,347,26,373,0,23
944,-42.6,0,17,116,37,548,0,47
944,-42.6,0,437,275,0,73,0,29
838,-40.6,0,0,707,9,149,0,12
980,-42,0,0,20,0,952,0,8
980,-42,0,12,18,0,928,0,18
980,-42,0,0,17,0,786,0,52
823,-40.4,0,0,337,34,404,0,140
932,-42.6,0,0,958,0,0,0,2
980,-42,0,0,22,89,633,0,216
980,-42,6,59,212,29,300,0,288
923,-44.3,0,14,37,16,252,0,20
923,-44.3,0,2,450,7,116,0,40
923,-44.3,0,3,347,0,64,0,18
923,-44.3,0,6,128,18,206,0,66
923,-44.3,0,9,493,13,131,0,7
918,-44.7,0,8,14,40,220,0,44
918,-44.7,0,2,263,27,325,0,43
862,-41.2,0,30,102,19,230,0,152
862,-41.2,0,11,91,6,23,0,6
862,-41.2,0,135,223,25,301,0,53
862,-41.2,0,115,251,19,185,0,12
862,-41.2,0,44,81,25,240,0,337
898,-39,0,25,157,21,268,0,10
898,-39,0,9,219,18,156,0,20
898,-39,0,12,372,9,221,0,22
898,-39,0,46,163,0,227,0,159
983,-42.1,0,35,257,13,642,0,4
313,-40.3,0,204,167,0,9,0,124
905,-38.2,0,86,345,27,500,0,30
923,-39.1,0,732,76,0,0,0,6
983,-42.1,0,139,317,8,452,0,16
971,-40.7,0,40,230,0,491,0,40
798,-39.1,0,126,496,0,51,0,130
873,-39,0,108,176,59,505,0,44
1531,-1,0,41,112,33,223,26,227
386,-13,0,0,3,0,10,0,3
386,-13,0,0,448,6,58,0,349
167,-12.8,0,5,586,9,236,0,23
4001,5.7,0,0,0,0,106,20,67
3864,5.5,0,0,0,0,46,6,93
3918,5.8,1,1,0,0,23,2,55
3921,5.8,3,5,0,0,64,18,200
3763,5.4,0,8,0,0,42,3,147
3418,4.4,0,9,0,0,111,11,143
2849,2.7,0,1,0,0,22,5,69
2799,2.6,0,4,0,0,97,4,36
2668,2.2,0,20,0,0,59,20,99
1954,-0.7,0,5,0,0,90,182,100
2018,-0.4,0,12,0,0,60,22,113
2088,-0.1,0,30,0,0,48,33,151
2530,1.7,0,8,0,0,48,60,129
2473,1.5,0,0,0,0,142,0,201
2336,0.9,0,8,0,0,70,39,117
2813,2.7,0,18,0,0,94,18,258
2992,3.9,0,0,0,0,21,515,141
3061,4.1,0,11,0,0,67,41,595
2692,1.1,0,8,0,0,118,58,411
3134,4.4,0,7,0,0,38,371,384
2585,2.2,0,6,0,0,85,46,442
2754,2.9,0,6,0,0,30,640,82
3116,4,0,47,0,0,120,5,398
3107,4,2,27,0,0,173,21,293
3736,5.8,0,21,0,0,107,33,284
3757,5.9,0,28,0,0,159,39,216
3757,6,0,5,0,0,28,20,33
2716,3.1,0,2,0,0,54,115,31
2716,3.1,0,3,0,0,18,112,31
2705,3,0,7,0,0,56,26,87
1771,-1,0,3,0,0,4,7,51
2674,3.1,0,0,0,0,22,5,16
3058,4.4,0,0,0,0,98,25,304
3674,6.2,0,0,0,0,40,14,30
4378,8.7,0,0,0,0,80,34,29
4560,9.4,0,0,0,0,47,9,22
4739,10.1,0,0,2,0,33,53,39
4754,10.2,0,4,0,0,41,9,129
5137,11.7,0,5,0,0,59,0,162
5434,12.8,0,2,0,0,10,7,17
3103,4.7,0,1,0,0,453,9,6
2902,4.1,0,5,0,0,76,327,11
3507,5.9,0,3,0,0,277,86,163
3865,6.9,0,5,0,0,167,67,95
4229,8.3,0,1,0,0,27,15,62
4417,9,0,0,0,0,17,47,6
4615,9.8,0,6,0,0,163,8,29
5003,11.2,0,0,0,0,208,65,119
3285,4.7,0,0,0,0,121,9,234
3269,4.6,0,1,0,0,30,67,20
